Text,Text1,Text2,Text3,Text4,Text5,Text6,Text7,Text8
"Data Analyst (Python, SQL, Excel)","
                Flipkart
              ","
              Bengaluru, Karnataka, India
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

    4 weeks ago
  
      ",,"
            Not Applicable
          ","
          Full-time
        ","
            Information Technology
          ","
          Internet Publishing and Manufacturing
          "
Data Analyst,"
                Myntra
              ","
              Bengaluru, Karnataka, India
            ",,,"
            Entry level
          ","
          Full-time
        ","
            Information Technology
          ","
          Marketing and Advertising, Computer Software, and Internet Publishing
          "
Jr. Data Analyst (Freshers are welcome to apply),"
                ISS | Institutional Shareholder Services
              ","
              Mumbai, Maharashtra, India
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

    3 days ago
  
      ",,"
            Associate
          ","
          Full-time
        ","
            General Business, Analyst, and Finance
          ","
          IT Services and IT Consulting, Financial Services, and Management Consulting
          "
Associate - Data Analyst,"
                Myntra
              ","
              Bengaluru, Karnataka, India
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

    4 weeks ago
  
      ","
          69 applicants
        ","
            Associate
          ","
          Full-time
        ","
            Information Technology
          ","
          Marketing and Advertising, Computer Software, and Internet Publishing
          "
Data Analyst,"
                IBM
              ","
              Bengaluru, Karnataka, India
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

    4 days ago
  
      ",,"
            Not Applicable
          ","
          Full-time
        ","
            Information Technology
          ","
          Computer Hardware Manufacturing
          "
Junior Data Analyst,"
                Cargill
              ","
              Gurgaon, Haryana, India
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

    2 days ago
  
      ",,"
            Associate
          ","
          Full-time
        ","
            Information Technology
          ","
          Food and Beverage Services, Chemicals, and Food and Beverage Manufacturing
          "
Data Analyst,"
                Myntra
              ","
              Bengaluru, Karnataka, India
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

    2 weeks ago
  
      ","
          37 applicants
        ","
            Entry level
          ","
          Full-time
        ","
            Information Technology
          ","
          Marketing and Advertising, Computer Software, and Internet Publishing
          "
Data Analyst,"
                Whril: Cryptoasset Custody Service
              ","
              Bengaluru, Karnataka, India
            ",,"
          43 applicants
        ","
          Full-time
        ",,,
Junior Data Analyst,"
                Cargill
              ","
              Bengaluru, Karnataka, India
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

    2 days ago
  
      ",,"
            Associate
          ","
          Full-time
        ","
            Information Technology
          ","
          Food and Beverage Services, Chemicals, and Food and Beverage Manufacturing
          "
Data Analyst (New Grad) - India UHR,"
                Cisco
              ","
              Bengaluru, Karnataka, India
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

    1 week ago
  
      ",,"
            Not Applicable
          ","
          Full-time
        ","
            Information Technology
          ","
          Computer Hardware Manufacturing, Computer Software, and Computer Networking Products
          "
Data Analyst,"
                Flipkart
              ","
              Bengaluru, Karnataka, India
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

    2 weeks ago
  
      ","
          154 applicants
        ","
            Not Applicable
          ","
          Full-time
        ","
            Information Technology
          ","
          Internet Publishing and Manufacturing
          "
Data Analyst - (New Grad) - India UHR,"
                Cisco
              ","
              Bengaluru, Karnataka, India
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

    1 day ago
  
      ","
          200 applicants
        ","
            Not Applicable
          ","
          Full-time
        ","
            Information Technology
          ","
          Computer Hardware Manufacturing, Computer Software, and Computer Networking Products
          "
Data analyst,"
                Amazon
              ","
              Bengaluru, Karnataka, India
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

    2 days ago
  
      ",,"
            Not Applicable
          ","
          Full-time
        ","
            Strategy/Planning, Analyst, and Information Technology
          ","
          IT Services and IT Consulting, Computer Software, and Internet Publishing
          "
Data Analyst,"
                Flipkart
              ","
              Bengaluru, Karnataka, India
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

    2 months ago
  
      ","
          26 applicants
        ","
            Not Applicable
          ","
          Full-time
        ","
            Information Technology
          ","
          Internet Publishing and Manufacturing
          "
Data Analyst,"
                Myntra
              ","
              Bengaluru, Karnataka, India
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

    1 month ago
  
      ","
          39 applicants
        ","
            Entry level
          ","
          Full-time
        ","
            Information Technology
          ","
          Marketing and Advertising, Computer Software, and Internet Publishing
          "
